Nom de la gare;Total Voyageurs 2022
Champ de Mars Tour Eiffel;6564413
Champagnole;55022
Champbenoist - Poigny;182176
Château-Arnoux-Saint-Auban;20550
Châteaubriant Tram Train;110070
Châteaulin;55668
Châtelaillon-Plage;123934
Chaugey;13134
Chaulnes;116268
Chazay - Marcilly;20138
Chemilly - Appoigny;1471
Chenevières;1502
Chèvremont;0
Chirac;72
Clacy - Mons;1063
Clamecy;37889
Clermont La Pardieu;280491
Clermont-en-Argonne;22
Cloyes-sur-le-Loir;19900
Cluses;551956
Coarraze - Nay;59827
Coignières;386452
Commentry;101419
Conflans - Jarny;125935
Contrexéville;33195
Corbie;361868
Cordemais;41457
Cramoisy;3434
Crécy-la-Chapelle;157761
Crépieux la Pape;33242
Crest;95904
Dambach-la-Ville;36166
Damblain;270
Dangé-Saint-Romain;29629
Danjoutin;1742
Daours;31621
Dax;1175632
Deuil - Montmagny;2982566
Deûlémont;417
Diarville;844
Die;67564
Diemeringen;130647
Dieupentale;121534
Dol-de-Bretagne;543868
Dole;981528
Don - Sainghin;149938
Dorlisheim;93874
Dormans;130444
Dourdan;786264
Douzillac;0
Ebblinghem;13896
Enghien-les-Bains;7014246
Épanvilliers;1450
Épernay;835958
Épône - Mézières;1243300
Éragny - Neuville;783828
Escaudœuvres;804
Esquelbecq;149425
Étain;111302
Étampes;2602664
Eu;33338
Évreux Normandie;1122584
Farébersviller;1340
Fellering;19737
Feuquerolles;0
Figeac;161366
Fleurieux-sur-l'Arbresle;130705
Fos-sur-Mer;8812
Foug;8384
Fougeré;1808
Fouilloy;4942
Franconville - Le Plessis-Bouchard;5203210
Frasne;256586
Frénouville - Cagny;14144
Fresnoy-le-Grand;26363
Fréteval - Morée;4261
Fretin;66985
Froncles;46809
Frontenex;32224
Frynaudour;735
Gallargues-le-Montueux;17500
Garches - Marnes-la-Coquette;1962296
Gare routière de Forges d'Abel;0
Gauriaguet;60009
Gemeaux;28695
Gerzat;31906
Gonfaron;34170
Gourdon;130100
Gragnague;26536
Granville;346517
Grenoble Universités - Gières;754594
Guérard - La Celle-sur-Morin;72793
Guéret;71942
Guéthary;38627
Guillerval;17002
Guingamp;922076
Haguenau;2027734
Halsou - Larressore;6740
Ham;175319
Hatrize;501
Hazebrouck;1718996
Heiligenberg - Mollkirch;20988
Hennebont;153087
Herbitzheim;40427
Héricy;46723
Houdemont;11588
Igney;18840
Ille-sur-Têt;9957
Illfurth;68267
Imphy;58517
Isbergues;150580
Issé;26374
Issou - Porcheville;322803
Istres;53969
Itxassou;2006
Jaux;11822
Joinville;63579
Jouy;110910
Jouy-en-Josas;683855
Ker Lann;85456
Kilstett;104003
Kurtzenhouse;94909
La Bâthie;106
La Baule-Escoublac;538604
La Borne Blanche;140070
